Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sma_20,ema_20,rsi_14,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid,news_count,avg_bearish,avg_bullish,avg_neutral,net_sentiment
2025-08-12,227.1708458950812,229.9505863295972,226.2343181614284,228.8048095703125,55626200,0.0,0.0,,,,,,,,,,0,,,,
2025-08-13,230.2195756343437,234.1351043372746,229.5819165003467,232.47125244140625,69878500,0.0,0.0,,,,,,,,,,0,,,,
2025-08-14,233.1985666998313,234.25466305951576,230.0003892485326,231.9232788085937,51916300,0.0,0.0,,,,,,,,,,0,,,,
2025-08-15,233.1387895567921,233.417757832359,228.4959365092947,230.73765563964844,56038700,0.0,0.0,,,,,,,,,,0,,,,
2025-08-18,230.8472538899505,232.26202593201924,229.26310933608104,230.0402374267578,37476200,0.0,0.0,,,,,,,,,,0,,,,
2025-08-19,230.4287923573085,232.01293684851592,228.50590285589897,229.71144104003903,39402600,0.0,0.0,,,,,,,,,,0,,,,
2025-08-20,229.13358225147155,229.6217843388592,224.939085159242,225.17819213867188,42263900,0.0,0.0,,,,,,,,,,0,,,,
2025-08-21,225.43723377620464,225.6863136691638,222.95639256938463,224.072265625,30621200,0.0,0.0,,,,,,,,,,0,,,,
2025-08-22,225.3376083702921,228.2468598588307,224.58041092619504,226.9217529296875,42477800,0.0,0.0,,,,,,,,,,0,,,,
2025-08-25,225.6464693442017,228.456098045362,225.3973894325087,226.323974609375,30983100,0.0,0.0,,,,,,,,,,0,,,,
2025-08-26,226.0350268937484,228.6453946309622,223.86305742355088,228.466049194336,54575100,0.0,0.0,,,,,,,,,,0,,,,
2025-08-27,227.7686378094015,230.050203138926,227.41991984776428,229.6417236328125,31259500,0.0,0.0,,,,,,,,,,0,,,,
2025-08-28,229.9704999102399,232.55096405412047,228.4959359400532,231.7040863037109,38074700,0.0,0.0,,,,,,,,,,0,,,,
2025-08-29,231.6542626563304,232.52107103838583,230.5184589305688,231.2856292724609,39418400,0.0,0.0,,,59.101155792027534,,,,,,,0,,,,
2025-09-02,228.4062708029861,230.00038826150748,226.1346633063032,228.87454223632807,44075600,0.0,0.0,,,49.70482824720947,,,,,,,0,,,,
2025-09-03,236.33698891571112,237.9709525201245,233.49747185558653,237.59234619140625,66427800,0.0,0.0,,,68.93580029556045,,,,,,,0,,,,
2025-09-04,237.5723846793371,239.0170449317188,235.8686868266909,238.89749145507807,47549400,0.0,0.0,,,70.73961300840585,,,,,,,0,,,,
2025-09-05,239.1167027112504,240.43185187342493,237.61226559630572,238.807846069336,54870400,0.0,0.0,,,70.43707055009892,,,,,,,0,,,,
2025-09-08,238.41928864081729,239.2661511981365,235.4701758698508,237.0045166015625,48999500,0.0,0.0,,,64.46431366594958,,,,,,,0,,,,
2025-09-09,236.1277593274596,237.901207105354,232.5011563745861,233.48751831054688,66313900,0.0,0.0,231.09733047485352,232.1235255531483,54.7190448912987,,,,239.5006105546873,222.6940503950197,231.09733047485352,0,,,,
2025-09-10,231.3354573908009,231.56460664903227,225.118417424808,225.955322265625,83440800,0.0,0.0,230.95485610961916,231.53607762100324,40.57274185200081,,,,239.6018694429233,222.307842776315,230.95485610961916,0,,,,
2025-09-11,226.04500979013488,229.60186307827533,225.81584532196928,229.18341064453125,50208600,0.0,0.0,230.79046401977536,231.3120140994345,46.90770942500637,,,,239.44092370638572,222.14000433316505,230.79046401977536,0,,,,
2025-09-12,228.3764005514914,233.6469250222829,228.17713965402348,233.20855712890625,55824200,0.0,0.0,230.854727935791,231.49263724509845,53.55599040523044,,,,239.5568377014626,222.1526181701194,230.854727935791,0,,,,
2025-09-15,236.12775635652343,237.31337916896248,234.16500543557729,235.828857421875,42699500,0.0,0.0,231.1092880249024,231.9056105952677,57.30414644208905,,,,240.07662668597035,222.1419493638344,231.1092880249024,0,,,,
2025-09-16,236.3070825366736,240.3322223551857,235.45026224943368,237.2735137939453,63421100,0.0,0.0,231.47095184326173,232.4168394713322,59.25643992998789,,,,240.81230730284636,222.12959638367715,231.47095184326173,0,,,,
2025-09-17,238.09051246512183,239.21635855568803,236.8550706028844,238.1104431152344,46508000,0.0,0.0,231.8909019470215,232.9590874374181,60.38652530074856,1.698238793666718,,,241.6250111862128,222.15679270783025,231.8909019470215,0,,,,
2025-09-18,239.08682096339743,240.31228984200703,235.77903252032195,237.0045166015625,44249600,0.0,0.0,232.482218170166,233.34436640543183,58.09353481942904,1.8064460275840304,,,241.9464656072472,223.01797073308484,232.482218170166,0,,,,
2025-09-19,240.3421770415445,245.3935247988757,239.32594197772087,244.59646606445312,163741300,0.0,0.0,233.50842819213867,234.41599494438623,67.27898919505398,2.476263093617831,,,243.53664296646255,223.48021341781475,233.50842819213867,0,,,,
2025-09-22,247.38616206443075,255.6954791611581,247.2068166293636,255.13751220703125,105517400,0.0,0.0,234.91921615600583,236.38947277892387,75.35593333164499,3.8137101955466335,,,248.24176837793607,221.59666393407565,234.91921615600583,0,,,,
2025-09-23,254.93828225227924,256.3929004583055,252.64674396870493,253.4936065673828,60275200,0.0,0.0,236.27769775390624,238.01843790163423,72.3562575409101,4.686968754914375,,,251.25549696075188,221.2998985470606,236.27769775390624,0,,,,
2025-09-24,254.2807025242173,254.7987929994329,250.11607847800005,251.38140869140625,42303700,0.0,0.0,237.42346572875977,239.29110178637444,68.57888611070048,5.149238522091366,,,253.31382060978277,221.5331108477368,237.42346572875977,0,,,,
2025-09-25,252.27808820484515,256.22352044118514,250.7836088309123,255.9246063232422,55202100,0.0,0.0,238.73760986328125,240.87524507559996,71.9686491059857,5.815155233136153,,,256.11411174569287,221.3611079808696,238.73760986328125,0,,,,
2025-09-26,253.1648258525147,256.6519445821492,252.84599627139943,254.5198211669922,46076300,0.0,0.0,239.8783966064453,242.1747285128754,69.4729264892092,6.158552641198185,,,258.2266605049816,221.53013270790905,239.8783966064453,0,,,,
2025-09-29,253.6231329894407,254.0615160770536,252.07883445903423,253.4936065673828,40127700,0.0,0.0,240.9887954711914,243.25271689901896,67.62794456916674,6.275549985537793,4.63650463706551,1.6390453484722831,259.8046001018708,222.172990840512,240.9887954711914,0,,,,
2025-09-30,253.9220203508673,254.9781167214257,252.17846100632588,253.69287109375,37704300,0.0,0.0,242.2297119140625,244.2470172985172,67.80672425765403,6.311594078100541,4.971522525272516,1.3400715528280245,260.95943937134825,223.4999844567768,242.2297119140625,0,,,,
2025-10-01,254.10134722927504,257.83756097799323,253.9917514638179,254.5098419189453,48713900,0.0,0.0,243.07558670043943,245.2244291671294,68.57304648726284,6.333078215558714,5.243833663329756,1.0892445522289584,262.4094937144272,223.74167968645185,243.07558670043943,0,,,,
2025-10-02,255.6356607808825,257.229778167004,253.2146115335708,256.18365478515625,42630200,0.0,0.0,243.93989486694332,246.2681649402748,70.14125168833235,6.411262218956637,5.477319374455133,0.9339428445015034,263.9819716007958,223.89781813309085,243.93989486694332,0,,,,
2025-10-03,253.73271197999827,258.2858846694617,253.01536064819075,257.07037353515625,49155600,0.0,0.0,244.8530212402344,247.29694671121587,70.96775555933567,6.470190073824455,5.6758935143289975,0.7942965594954572,265.5306407780416,224.1754017024272,244.8530212402344,0,,,,
2025-10-06,257.0405037108186,258.1165459888059,254.11133663097664,255.74530029296875,44664100,0.0,0.0,245.7900604248047,248.10155181423997,67.94122313685139,6.336920412890265,5.808098894041251,0.5288215188490142,266.6577465350686,224.9223743145408,245.7900604248047,0,,,,
2025-10-07,255.86484387966763,256.45266881763376,254.48991791397023,255.5360717773437,31955800,0.0,0.0,246.89248809814453,248.80960133453556,67.45206958325913,6.143600649796326,5.875199245192267,0.2684014046040595,267.3699238619033,226.41505233438576,246.89248809814453,0,,,,
2025-10-08,255.5758888188916,257.5685279874928,255.16739414069707,257.1102294921875,36496900,0.0,0.0,248.45023345947263,249.60013734955,69.24607774886047,6.047700588729725,5.909699513899759,0.1380010748299662,266.96580955732423,229.93465736162108,248.45023345947263,0,,,,
2025-10-09,256.86113993459566,257.0504430809132,252.2083294752373,253.10501098632807,38322000,0.0,0.0,249.6463134765625,249.93393483876696,60.160089594298725,5.584140938267296,5.844587798773267,-0.2604468605059704,265.9924269930728,233.30019996005225,249.6463134765625,0,,,,
2025-10-10,254.00171816056968,255.436420799504,243.10197943699816,244.3673095703125,61999100,0.0,0.0,250.2042510986328,249.40378005129512,45.98442530388243,4.46029162978104,5.567728564974822,-1.1074369351937827,264.95158506900225,235.4569171282634,250.2042510986328,0,,,,
2025-10-13,248.46219085423505,248.7710475029622,244.6562426215344,246.7485198974609,38142900,0.0,0.0,250.7502342224121,249.15089813188231,49.478230897359154,3.7189074782349394,5.197964347626845,-1.479056869391906,264.0674973009279,237.43297114389625,250.7502342224121,0,,,,
2025-10-14,245.6924164271232,247.93413549962372,243.79940008876653,246.8581085205078,35478000,0.0,0.0,251.22946395874024,248.9325372165133,49.6396744329099,3.104412349622976,4.779253948026072,-1.6748415984030958,263.1934173662118,239.26551055126868,251.22946395874024,0,,,,
2025-10-15,248.5717898296712,250.8932163906544,246.559219921403,248.42233276367188,33893600,0.0,0.0,251.7450584411621,248.8839463162427,51.997564788396936,2.712373799884517,4.365877918397761,-1.6535041185132435,262.1962347379113,241.2938821444129,251.7450584411621,0,,,,
2025-10-16,247.33633482463924,248.1234206007849,244.2278226113223,246.53927612304688,39777000,0.0,0.0,252.22179641723636,248.6606443930812,49.02196288357533,2.2240955026904885,3.9375214352563055,-1.713425932565818,260.6051900473917,243.83840278708092,252.22179641723636,0,,,,
2025-10-17,247.10719170360767,252.4474653732209,246.35995200283696,251.3614654541016,49147000,0.0,0.0,252.56004638671877,248.91786544651168,55.97060713900681,2.2008715355406423,3.5901914553131737,-1.3893199197725314,260.1982750993275,244.92181767411,252.56004638671877,0,,,,
2025-10-20,254.94822099113512,263.4069798400544,254.68918336894043,261.2748413085937,90483000,0.0,0.0,252.86691284179688,250.0947202905195,66.17733960886522,2.948405572057481,3.461834278662036,-0.5134287066045542,261.34197826196936,244.3918474216244,252.86691284179688,0,,,,
2025-10-21,260.9161783410852,264.3136317818121,260.86634411857244,261.8028869628906,46695900,0.0,0.0,253.28237686157223,251.20978378312623,66.62120297182665,3.5426036235509457,3.477988147639818,0.0646154759111277,262.6112605119736,243.9534932111709,253.28237686157223,0,,,,
2025-10-22,261.68336485657886,261.882640960004,254.48993535873984,257.49884033203125,45015300,0.0,0.0,253.5882484436035,251.80874154968865,59.739537333261374,3.624429105039411,3.507276339119737,0.1171527659196742,263.04799565516754,244.12850123203944,253.5882484436035,0,,,,
2025-10-23,258.98332466328685,259.6608147081683,257.0604350924048,258.6246337890625,32754900,0.0,0.0,253.7232498168945,252.45787414391472,60.87787210329747,3.737040238332924,3.553229118962374,0.1838111193705494,263.3873709701486,244.05912866364045,253.7232498168945,0,,,,
2025-10-24,260.2287163700197,263.15789839957887,258.22610426270086,261.85272216796875,38253700,0.0,0.0,254.08989486694333,253.352621574777,64.01933413882062,4.0401923047482455,3.650621756119549,0.3895705486286971,264.3830130656278,243.79677666825893,254.08989486694333,0,,,,
2025-10-27,263.9051197703755,268.1295048126629,263.6759553344934,267.8206481933594,44888200,0.0,0.0,254.80624694824215,254.73052887178483,68.97875799890068,4.707736400919629,3.8620446850795647,0.8456917158400641,266.7029375161901,242.90955638029425,254.80624694824215,0,,,,
2025-10-28,267.9999758056659,268.896687690681,267.16307106420925,268.00994873046875,41534800,0.0,0.0,255.52210083007813,255.9952355249928,69.12413451917499,5.192192514545042,4.12807425097266,1.0641182635723814,268.71683789987475,242.32736376028157,255.52210083007813,0,,,,
2025-10-29,268.28892986747474,270.4110953948544,266.1269030442272,268.7073974609375,51086700,0.0,0.0,256.2319786071777,257.2059176141304,69.68776971507955,5.568218798425221,4.416103160463172,1.1521156379620487,270.607334475312,241.8566227390435,256.2319786071777,0,,,,
2025-10-30,270.98894793982623,273.1310593223432,267.49188695276854,270.401123046875,69886500,0.0,0.0,256.9428520202637,258.46260384582035,71.06897499101588,5.93448281346673,4.719779091063884,1.214703722402846,272.5883611551566,241.2973428853708,256.9428520202637,0,,,,
2025-10-31,275.97053891965146,276.29934139392066,268.1693703205502,269.3749084472656,86167100,0.0,0.0,257.55807876586914,259.5018709507199,69.01698084170906,6.07194909293537,4.990213091438181,1.0817360014971884,274.1163363236396,240.99982120809867,257.55807876586914,0,,,,
2025-11-03,269.42476736726525,269.8531775103368,265.2701011373342,268.0597839355469,50194600,0.0,0.0,258.17380294799807,260.3169102826081,66.37216511808754,6.005544375425416,5.193279348235628,0.8122650271897873,275.3219619573913,241.02564393860484,258.17380294799807,0,,,,
2025-11-04,267.3424445625432,270.49081837885313,266.6350661079627,269.0461730957031,49274800,0.0,0.0,258.849308013916,261.14826864576,67.38180272335995,5.963764949976564,5.347376468583816,0.6163884813927485,276.5830129402737,241.11560308755836,258.849308013916,0,,,,
2025-11-05,267.6213843438783,270.7000385630725,265.94757476828966,269.1457824707031,43683100,0.0,0.0,259.4510856628418,261.90993662908795,67.48795943263039,5.871014695565293,5.452104113980112,0.4189105815851812,277.7167458887149,241.18542543696876,259.4510856628418,0,,,,
2025-11-06,266.90407480138714,272.3937751745226,266.90407480138714,268.7771301269531,51204000,0.0,0.0,260.23469161987305,262.56395505745604,66.62375190230094,5.702032802772237,5.502089851738537,0.1999429510336998,278.68783982316893,241.7815434165772,260.23469161987305,0,,,,
2025-11-07,268.80702532983145,271.2878818962731,265.7881780523408,267.48193359375,48227400,0.0,0.0,261.3904228210449,263.0323339656745,63.54498784670679,5.401338629954978,5.481939607381825,-0.0806009774268474,278.57546168627863,244.2053839558112,261.3904228210449,0,,,,
2025-11-10,268.2298525605972,272.98692304032335,266.733924572705,268.6985778808594,41312400,0.26,0.0,262.48792572021483,263.5719762433112,65.17306580945714,5.20125255586521,5.425802197078503,-0.2245496412132928,278.5600217930913,246.4158296473383,262.48792572021483,0,,,,
2025-11-11,269.07757258136417,275.16101963639426,269.0675899882029,274.5028076171875,46208300,0.0,0.0,263.87016067504885,264.613007802728,71.67269846529585,5.448231906346791,5.430288138932161,0.0179437674146303,279.0584199089012,248.6819014411965,263.87016067504885,0,,,,
2025-11-12,274.2535373864602,274.9815668240292,270.96250711171905,272.7276916503906,48398000,0.0,0.0,265.08542861938474,265.3858348358387,67.52231962677281,5.438041441066844,5.431838799359098,0.0062026417077456,278.96850491423027,251.2023523245392,265.08542861938474,0,,,,
2025-11-13,273.3658696206449,275.9488654308047,271.3513641926929,272.20904541015625,49602800,0.0,0.0,266.36891708374026,266.03566441434515,66.31403670673602,5.326711986813791,5.410813436850036,-0.0841014500362451,277.6608463081392,255.07698785934133,266.36891708374026,0,,,,
2025-11-14,270.3142081927936,275.21088338895913,268.8681625557137,271.6705322265625,47431300,0.0,0.0,267.3843704223633,266.5723184916992,65.01317112765042,5.13582646827399,5.355816043134827,-0.2199895748608371,276.5473277734854,258.2214130712412,267.3843704223633,0,,,,
2025-11-17,268.0902717401977,269.7557213346742,265.00866346949266,266.73394775390625,45018300,0.0,0.0,267.6573257446289,266.58771175476653,54.46536188559503,4.533942739767099,5.191441382461282,-0.6574986426941836,276.39123149851696,258.92341999074085,267.6573257446289,0,,,,
2025-11-18,269.25705465795,269.97510130800674,264.59974924229334,266.7139892578125,45677300,0.0,0.0,267.902880859375,266.59973818362806,54.42691505361126,4.009120420140107,4.954977189997048,-0.9458567698569408,276.2313264836157,259.5744352351343,267.902880859375,0,,,,
2025-11-19,264.80921977983166,271.47107967039307,264.77930243197466,267.8309936523437,40424500,0.0,0.0,268.41948852539065,266.71700060922,56.286711432549644,3.6413526237551537,4.692252276748669,-1.0508996529935155,275.2494002589911,261.5895767917902,268.41948852539065,0,,,,
2025-11-20,270.0948061865016,274.68232536305425,265.1981613886433,265.5272521972656,45823600,0.0,0.0,268.7646194458008,266.60369123665294,51.608876293504096,3.127944318219363,4.379390685042808,-1.251446366823445,274.1177870327788,263.41145185882283,268.7646194458008,0,,,,
2025-11-21,265.2280517805383,272.5879921198442,264.9488130991126,270.75299072265625,59030800,0.0,0.0,269.2096328735352,266.9988626162723,59.77527753224816,3.1069232852157143,4.1248972050773896,-1.0179739198616753,273.5800006706296,264.8392650764407,269.2096328735352,0,,,,
2025-11-24,270.164627965921,276.24807542504453,270.164627965921,275.1710205078125,65585800,0.0,0.0,269.5771514892578,267.77716336784755,65.13262598498235,3.4074827062057693,3.9814143053030655,-0.5739315990972962,274.6052334065638,264.5490695719518,269.5771514892578,0,,,,
2025-11-25,274.52274228722064,279.6188865292943,274.5028075356392,276.2181396484375,46914200,0.0,0.0,269.98756103515626,268.5810658707609,66.27895683849383,3.6876628939121474,3.922664023024882,-0.2350011291127347,275.72665361450385,264.2484684558087,269.98756103515626,0,,,,
2025-11-26,276.2082055022192,278.7712367451818,275.8791146523587,276.7966003417969,33431400,0.0,0.0,270.3920211791992,269.3634977251453,66.92586360415856,3.9112976502017887,3.920390748460264,-0.0090930982584747,276.8128989309065,263.97114342749194,270.3920211791992,0,,,,
2025-11-28,276.50736791500816,278.242634823177,275.2407959413455,278.0930480957031,20135600,0.0,0.0,270.7766174316406,270.19488347472225,68.38951515908117,4.145357207148265,3.965384040197864,0.1799731669504014,278.02210986057503,263.5311250027062,270.7766174316406,0,,,,
2025-12-01,277.2553332443013,282.65065109438723,275.3904143522869,282.3315124511719,46587700,0.0,0.0,271.424447631836,271.3507529010508,72.6507273864735,4.6196077806093285,4.096228788280157,0.5233789923291718,280.20673587760126,262.64215938607066,271.424447631836,0,,,,
2025-12-02,282.231773534172,286.619823290159,281.86278279875575,285.4131164550781,53669500,0.0,0.0,272.2921142578125,272.69002562048195,75.26182247095973,5.1843524777282255,4.313853526169771,0.8704989515584547,282.8272736808026,261.7569548348224,272.2921142578125,0,,,,
2025-12-03,285.4231155973949,287.8365294074879,282.5309633672564,283.378662109375,43538700,0.0,0.0,273.0087387084961,273.7079910003765,70.47788420325917,5.405442677491976,4.532171356434212,0.8732713210577643,284.4721790080732,261.545298408919,273.0087387084961,0,,,,
2025-12-04,283.3287830094401,283.95707766942763,277.8337308175164,279.9380187988281,43989100,0.0,0.0,273.54835052490233,274.30132698118143,63.16537686863269,5.242593735981302,4.67425583234363,0.5683379036376719,285.2472495409372,261.8494515088675,273.54835052490233,0,,,,
2025-12-05,279.77845592816414,280.37683325787106,277.2951945750906,278.0232238769531,47265800,0.0,0.0,274.0106552124024,274.6557933522073,59.46743594443598,4.902513702728186,4.719907406420541,0.1826062963076449,285.6494405947891,262.3718698300156,274.0106552124024,0,,,,
2025-12-08,277.374989388386,278.9108174051644,275.4003533668138,277.1356506347656,38211800,0.0,0.0,274.49334106445315,274.8919702362605,57.77887561926732,4.509396566725911,4.677805238481615,-0.1684086717557038,285.80517825977057,263.1815038691357,274.49334106445315,0,,,,
2025-12-09,277.40493251311347,279.2698514894354,276.16830825817004,276.4275817871094,32193300,0.0,0.0,274.8797912597656,275.0382189553889,56.40294938397699,4.093525551335915,4.560949301052475,-0.4674237497165601,285.8976262142105,263.86195630532075,274.8797912597656,0,,,,
2025-12-10,276.9960211276047,278.9905919368044,275.68957968235776,278.0232238769531,33038300,0.0,0.0,275.0558120727539,275.32250513839506,58.78487070285385,3.848338505974141,4.418427142036808,-0.5700886360626676,286.1561077520308,263.955516393477,275.0558120727539,0,,,,
2025-12-11,278.34237127554803,278.8310314000742,273.0667227973629,277.2752685546875,33248000,0.0,0.0,275.28319091796874,275.50848260661337,57.20709574536159,3.5527187324076976,4.245285460110987,-0.692566727703289,286.36971102507187,264.1966708108656,275.28319091796874,0,,,,
2025-12-12,277.14559334691864,278.4620173164318,276.06853855760204,277.5245666503906,39532900,0.0,0.0,275.5489669799805,275.7004906107826,57.61542948464363,3.3005080031179546,4.05632996871238,-0.7558219655944258,286.58269070947387,264.5152432504871,275.5489669799805,0,,,,
2025-12-15,279.3894873363706,279.3894873363706,272.0993337942639,273.3658752441406,50409100,0.0,0.0,275.6337341308593,275.47814629015,49.18418968410885,2.7335469149636538,3.791773357962635,-1.0582264429989814,286.57261177609456,264.69485648562414,275.6337341308593,0,,,,
2025-12-16,272.07941349564567,274.752131096348,271.0522107383373,273.8645324707031,37648600,0.0,0.0,275.9902633666992,275.324468783536,50.12662489382038,2.2979740244834943,3.493013491266807,-1.1950394667833129,286.18513301496705,265.79539371843134,275.9902633666992,0,,,,
2025-12-17,274.2634587890498,275.41033087528734,270.9026119684932,271.10205078125,50138700,0.0,0.0,276.2096664428711,274.9223337356992,45.13286636622127,1.7101565649830377,3.136442106010054,-1.426285541027016,285.7653918728584,266.65394101288376,276.2096664428711,0,,,,
