run_timestamp,forward_days,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p,date_range_start,date_range_end
2026-08-12T18:13:03Z,1,11,-0.3986,0.2246,-0.2909,0.3855,2026-07-23,2026-08-06
2026-08-13T00:31:05Z,1,12,-0.4456,0.1466,-0.3846,0.217,2026-07-23,2026-08-09
2026-08-14T03:22:00Z,1,14,-0.4211,0.1337,-0.4462,0.1098,2026-07-23,2026-08-11
2026-08-14T03:31:33Z,1,56,-0.1348,0.322,-0.1069,0.4331,2026-03-26,2026-08-11
2026-08-15T00:45:44Z,1,56,-0.1345,0.3229,-0.1069,0.4331,2026-03-26,2026-08-11
