run_timestamp,forward_days,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p,date_range_start,date_range_end
2026-08-12T18:13:08Z,1,12,-0.2133,0.5056,-0.2867,0.3663,2026-07-23,2026-08-09
2026-08-13T00:31:32Z,1,13,-0.2654,0.3809,-0.456,0.1173,2026-07-23,2026-08-10
2026-08-14T03:22:19Z,1,14,-0.3318,0.2465,-0.5253,0.0537,2026-07-23,2026-08-11
2026-08-14T03:32:22Z,1,57,0.0957,0.479,0.0296,0.8272,2026-03-26,2026-08-12
2026-08-15T00:46:32Z,1,57,0.0947,0.4835,0.0301,0.8239,2026-03-26,2026-08-12
2026-08-16T00:36:47Z,1,96,0.1839,0.0729,0.1366,0.1846,2026-03-01,2026-08-12
