run_timestamp,forward_days,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p,date_range_start,date_range_end
2026-08-13T00:30:51Z,1,13,-0.4386,0.1338,-0.3407,0.2547,2026-07-23,2026-08-10
2026-08-14T03:21:50Z,1,14,-0.4151,0.14,-0.411,0.1443,2026-07-23,2026-08-11
2026-08-14T03:31:09Z,1,57,-0.1924,0.1515,-0.1558,0.2473,2026-03-26,2026-08-12
2026-08-15T00:45:19Z,1,57,-0.1929,0.1506,-0.1564,0.2453,2026-03-26,2026-08-12
2026-08-16T00:35:14Z,1,96,-0.0366,0.7234,-0.082,0.4272,2026-03-01,2026-08-12
2026-08-17T00:44:22Z,1,128,-0.0565,0.5264,-0.0852,0.3387,2026-01-29,2026-08-12
2026-08-18T00:44:16Z,1,149,-0.0799,0.3328,-0.1002,0.2242,2026-01-01,2026-08-13
2026-08-19T00:44:59Z,1,168,-0.0428,0.5813,-0.0548,0.4803,2025-12-04,2026-08-16
2026-08-20T00:45:24Z,1,188,-0.0387,0.5982,-0.0323,0.6603,2025-11-06,2026-08-16
2026-08-21T00:44:29Z,1,188,-0.0387,0.5982,-0.0323,0.6603,2025-11-06,2026-08-16
2026-08-22T00:35:46Z,1,206,-0.0709,0.3111,-0.053,0.4489,2025-10-12,2026-08-16
2026-08-23T00:35:45Z,1,224,-0.0707,0.2924,-0.0672,0.3169,2025-09-11,2026-08-16
2026-08-24T00:35:36Z,1,239,-0.0224,0.731,-0.021,0.7471,2025-08-20,2026-08-16
2026-08-25T00:35:37Z,1,238,-0.0559,0.3907,-0.0503,0.4397,2025-08-24,2026-08-16
2026-08-26T00:35:46Z,1,238,-0.0661,0.3097,-0.0573,0.3785,2025-08-24,2026-08-16
2026-08-27T00:35:38Z,1,237,-0.0739,0.2573,-0.0739,0.2569,2025-08-25,2026-08-16
2026-08-28T00:35:23Z,1,236,-0.0715,0.274,-0.0755,0.248,2025-08-26,2026-08-16
2026-08-29T00:35:20Z,1,235,-0.0763,0.244,-0.0824,0.2079,2025-08-27,2026-08-16
